pair,level,seed,cgp_rank,cgp_shd,cgp_pacc,em_rank,em_shd,em_pacc
"(1,7) separated",linear,0,2,1,0.761875,1,0,0.80625
"(1,7) separated",linear,1,1,0,0.73625,1,0,0.76875
"(1,7) separated",linear,2,1,0,0.775,1,0,0.826875
"(1,7) separated",linear,3,2,1,0.6975,1,0,0.74
"(1,7) separated",linear,4,2,1,0.685625,3,1,0.695
"(1,7) separated",moderate,0,4,1,0.62,44,3,0.5225
"(1,7) separated",moderate,1,1,0,0.66875,2,2,0.719375
"(1,7) separated",moderate,2,2,2,0.67125,36,2,0.549375
"(1,7) separated",moderate,3,2,2,0.6725,50,3,0.511875
"(1,7) separated",moderate,4,3,1,0.634375,46,1,0.50125
"(1,7) separated",strong,0,3,2,0.61,53,3,0.509375
"(1,7) separated",strong,1,2,2,0.66625,40,4,0.605625
"(1,7) separated",strong,2,3,2,0.726875,44,2,0.57625
"(1,7) separated",strong,3,8,2,0.624375,48,2,0.513125
"(1,7) separated",strong,4,3,2,0.61375,51,2,0.514375
"(6,9) separated",linear,0,1,0,0.793125,1,0,0.87125
"(6,9) separated",linear,1,1,0,0.776875,1,0,0.8425
"(6,9) separated",linear,2,1,0,0.7725,1,0,0.83125
"(6,9) separated",linear,3,1,0,0.719375,13,3,0.824375
"(6,9) separated",linear,4,1,0,0.75375,1,0,0.890625
"(6,9) separated",moderate,0,14,6,0.60375,47,5,0.50125
"(6,9) separated",moderate,1,3,3,0.600625,9,4,0.540625
"(6,9) separated",moderate,2,27,2,0.63875,22,2,0.600625
"(6,9) separated",moderate,3,23,4,0.78875,51,5,0.610625
"(6,9) separated",moderate,4,2,1,0.715625,50,4,0.525625
"(6,9) separated",strong,0,31,5,0.546875,48,4,0.505
"(6,9) separated",strong,1,8,3,0.543125,43,5,0.583125
"(6,9) separated",strong,2,36,3,0.57,48,5,0.589375
"(6,9) separated",strong,3,14,5,0.56,46,4,0.52625
"(6,9) separated",strong,4,17,5,0.70625,53,5,0.533125
"(0,10) empty-vs-full",linear,0,1,0,0.7375,1,0,0.806875
"(0,10) empty-vs-full",linear,1,6,2,0.745625,1,0,0.820625
"(0,10) empty-vs-full",linear,2,5,2,0.748125,1,0,0.801875
"(0,10) empty-vs-full",linear,3,4,2,0.73125,1,0,0.798125
"(0,10) empty-vs-full",linear,4,3,1,0.698125,2,1,0.71625
"(0,10) empty-vs-full",moderate,0,10,2,0.6725,15,5,0.573125
"(0,10) empty-vs-full",moderate,1,13,2,0.635,27,3,0.574375
"(0,10) empty-vs-full",moderate,2,10,2,0.624375,13,2,0.575
"(0,10) empty-vs-full",moderate,3,10,2,0.6125,35,3,0.55375
"(0,10) empty-vs-full",moderate,4,10,2,0.635,22,2,0.569375
"(0,10) empty-vs-full",strong,0,10,1,0.608125,45,4,0.55875
"(0,10) empty-vs-full",strong,1,10,2,0.59375,52,2,0.54
"(0,10) empty-vs-full",strong,2,10,2,0.600625,43,3,0.534375
"(0,10) empty-vs-full",strong,3,10,2,0.601875,,,nan
"(0,10) empty-vs-full",strong,4,10,3,0.805625,26,5,0.581875
"(7,10) nested dist-1",linear,0,24,4,0.78375,2,3,0.91375
"(7,10) nested dist-1",linear,1,46,2,0.7425,1,0,0.836875
"(7,10) nested dist-1",linear,2,5,2,0.773125,3,3,0.816875
"(7,10) nested dist-1",linear,3,1,0,0.711875,1,0,0.825625
"(7,10) nested dist-1",linear,4,2,3,0.708125,1,0,0.800625
"(7,10) nested dist-1",moderate,0,1,0,0.590625,15,2,0.545
"(7,10) nested dist-1",moderate,1,3,3,0.558125,38,5,0.53375
"(7,10) nested dist-1",moderate,2,1,0,0.570625,1,0,0.573125
"(7,10) nested dist-1",moderate,3,1,0,0.545625,14,5,0.545625
"(7,10) nested dist-1",moderate,4,1,0,0.565,40,7,0.52125
"(7,10) nested dist-1",strong,0,1,0,0.586875,12,3,0.55125
"(7,10) nested dist-1",strong,1,1,0,0.5725,,,nan
"(7,10) nested dist-1",strong,2,1,0,0.586875,2,3,0.590625
"(7,10) nested dist-1",strong,3,1,0,0.575,8,4,0.529375
"(7,10) nested dist-1",strong,4,1,0,0.565625,9,2,0.510625
